iter	Passed	Remaining
740	15950	91676
741	15970	91650
742	15991	91623
743	16013	91602
744	16035	91585
745	16059	91580
746	16083	91567
747	16104	91543
748	16125	91521
749	16146	91499
750	16168	91475
751	16190	91458
752	16211	91434
753	16233	91416
754	16255	91395
755	16278	91381
756	16297	91347
757	16317	91316
758	16342	91313
759	16363	91288
760	16385	91273
761	16408	91259
762	16431	91247
763	16453	91228
764	16473	91196
765	16495	91179
766	16516	91155
767	16537	91129
768	16559	91107
769	16581	91092
770	16604	91077
771	16626	91059
772	16648	91038
773	16666	91000
774	16686	90966
775	16707	90944
776	16728	90917
777	16747	90882
778	16767	90854
779	16786	90819
780	16809	90804
781	16831	90784
782	16850	90753
783	16870	90720
784	16890	90691
785	16913	90681
786	16936	90666
787	16957	90643
788	16978	90617
789	16998	90584
790	17020	90570
791	17042	90551
792	17062	90521
793	17081	90487
794	17102	90460
795	17124	90439
796	17144	90413
797	17169	90408
798	17192	90392
799	17212	90363
800	17235	90351
801	17254	90318
802	17273	90282
803	17295	90263
804	17314	90227
805	17334	90199
806	17353	90167
807	17374	90138
808	17392	90103
809	17414	90081
810	17435	90060
811	17455	90031
812	17475	90001
813	17496	89975
814	17515	89941
815	17538	89926
816	17560	89908
817	17580	89881
818	17601	89857
819	17624	89839
820	17644	89812
821	17667	89797
822	17689	89778
823	17711	89759
824	17731	89731
825	17753	89713
826	17775	89692
827	17795	89666
828	17814	89633
829	17836	89612
830	17857	89590
831	17878	89563
832	17899	89538
833	17918	89504
834	17940	89485
835	17962	89468
836	17982	89441
837	18004	89422
838	18024	89394
839	18045	89369
840	18066	89346
841	18088	89324
842	18107	89294
843	18129	89273
844	18148	89240
845	18169	89213
846	18190	89191
847	18210	89161
848	18231	89138
849	18251	89107
850	18273	89089
851	18293	89061
852	18312	89030
853	18332	88999
854	18352	88972
855	18373	88948
856	18393	88919
857	18415	88902
858	18436	88878
859	18457	88851
860	18479	88836
861	18502	88819
862	18524	88803
863	18545	88778
864	18567	88757
865	18586	88725
866	18607	88701
867	18627	88675
868	18649	88656
869	18669	88627
870	18691	88609
871	18713	88587
872	18731	88552
873	18754	88534
874	18776	88516
875	18796	88487
876	18817	88464
877	18838	88439
878	18857	88409
879	18877	88381
880	18898	88359
881	18920	88339
882	18943	88325
883	18965	88304
884	18987	88284
885	19009	88266
886	19029	88239
887	19050	88216
888	19071	88193
889	19092	88168
890	19117	88163
891	19137	88135
892	19158	88112
893	19181	88095
894	19200	88062
895	19221	88042
896	19242	88017
897	19262	87987
898	19285	87975
899	19305	87947
900	19327	87930
901	19347	87899
902	19365	87863
903	19386	87839
904	19406	87810
905	19425	87780
906	19444	87746
907	19467	87731
908	19487	87705
909	19508	87682
910	19531	87668
911	19554	87650
912	19575	87629
913	19597	87609
914	19618	87586
915	19638	87557
916	19656	87521
917	19678	87501
918	19698	87476
919	19718	87449
920	19742	87435
921	19761	87403
922	19785	87394
923	19806	87371
924	19826	87342
925	19849	87328
926	19869	87301
927	19889	87274
928	19910	87249
929	19931	87228
930	19954	87212
931	19972	87177
932	19997	87169
933	20017	87142
934	20039	87121
935	20059	87096
936	20079	87067
937	20098	87037
938	20121	87019
939	20141	86992
940	20163	86975
941	20185	86956
942	20206	86932
943	20226	86903
944	20246	86877
945	20265	86844
946	20286	86824
947	20305	86790
948	20324	86761
949	20343	86727
950	20366	86713
951	20385	86682
952	20404	86651
953	20424	86621
954	20445	86600
955	20468	86585
956	20487	86550
957	20510	86537
958	20529	86506
959	20550	86484
960	20570	86457
961	20592	86437
962	20612	86410
963	20634	86389
964	20656	86370
965	20677	86348
966	20698	86324
967	20719	86301
968	20740	86279
969	20762	86261
970	20782	86234
971	20804	86213
972	20824	86187
973	20844	86160
974	20864	86133
975	20887	86117
976	20906	86087
977	20924	86052
978	20946	86034
979	20967	86009
980	20990	85996
981	21010	85966
982	21029	85935
983	21051	85918
